IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
176.98.181.71,176.98.181.71,443,2.9,HK,HKG,159.23,166.34
2.27.109.35,2400:c620:22:245::a,443,2.38,HK,HKG,160.7,304.32
43.154.131.189,43.154.131.189,443,2.26,HK,HKG,155.09,162.19
154.16.183.190,2401:b60:16:1d7::,443,1.92,HK,HKG,177.99,243.32
103.219.194.43,103.219.194.43,443,1.91,HK,HKG,158.96,165.07
165.154.20.213,165.154.20.213,443,1.74,HK,HKG,162.31,160.64
107.172.145.153,107.172.145.153,443,3.65,IE,DUB,136.6,147.77
45.89.105.211,45.89.105.211,443,1.42,IN,BOM,236.86,242.04
216.10.243.159,43.225.54.7,443,1.17,IN,BOM,232.98,240.99
172.236.187.52,172.236.187.52,443,1.09,IN,BOM,232.26,239.16
143.110.247.61,143.110.247.61,2096,1.02,IN,BLR,241.79,249.01
43.170.8.95,43.175.16.48,443,11.46,JP,NRT,115.63,141.39
156.231.112.27,156.231.112.27,443,8.7,JP,NRT,108.66,116.86
154.31.114.55,154.31.114.55,443,8.57,JP,NRT,116.68,119.54
153.121.76.150,153.121.76.150,443,8.25,JP,NRT,108.55,118.81
45.76.221.84,45.76.221.84,443,7.82,JP,NRT,123.18,223.0
34.104.208.126,34.104.208.126,443,7.58,JP,NRT,126.83,130.53
35.75.55.100,35.75.55.100,443,7.52,JP,NRT,111.32,118.35
160.16.57.18,160.16.57.18,443,7.45,JP,NRT,108.96,122.74
92.113.124.39,2a0f:7802:e2ec:1f::150,443,7.28,JP,NRT,111.15,118.01
153.121.32.71,153.121.32.71,443,6.45,JP,NRT,113.3,118.93
172.235.211.171,172.235.211.171,443,5.76,JP,KIX,115.99,120.27
151.145.78.30,151.145.78.30,443,5.63,JP,NRT,108.74,114.15
153.121.45.101,153.121.45.101,443,5.55,JP,NRT,114.09,125.77
64.176.54.102,64.176.54.102,443,5.34,JP,KIX,121.31,122.59
207.148.113.143,207.148.113.143,443,4.85,JP,NRT,112.13,131.82
178.239.117.172,178.239.117.172,443,4.75,JP,NRT,115.91,121.66
150.230.5.126,2603:c023:5:be04::44,443,4.58,JP,KIX,116.39,128.61
8.219.155.125,8.221.173.54,443,4.05,JP,NRT,200.46,280.97
160.16.62.84,160.16.62.84,443,3.84,JP,NRT,110.07,113.89
8.219.195.31,8.221.172.7,443,3.66,JP,NRT,179.19,272.55
168.138.212.80,168.138.212.80,443,3.64,JP,NRT,108.79,115.58
168.138.46.67,168.138.46.67,443,3.5,JP,KIX,116.83,125.76
161.33.141.33,161.33.141.33,443,2.99,JP,NRT,113.03,113.27
89.125.244.207,89.125.244.207,443,2.94,JP,NRT,108.88,115.41
160.16.59.9,160.16.59.9,443,2.72,JP,NRT,110.38,120.24
8.222.185.236,8.221.173.53,443,2.21,JP,NRT,182.86,262.17
149.28.21.106,149.28.21.106,443,1.88,JP,NRT,110.84,125.54
155.248.181.189,155.248.181.189,443,1.7,JP,NRT,111.07,115.63
8.222.193.153,8.221.172.5,443,1.61,JP,NRT,184.25,289.56
123.111.169.70,123.111.169.70,443,6.74,KR,ICN,137.34,138.96
123.111.169.70,123.111.169.70,2053,5.9,KR,ICN,140.49,144.05
211.49.57.175,211.49.57.175,443,4.77,KR,ICN,131.38,154.23
123.111.169.70,123.111.169.70,8443,4.31,KR,ICN,140.42,142.61
123.111.169.70,123.111.169.70,2087,4.31,KR,ICN,142.43,143.34
123.111.169.70,123.111.169.70,2083,4.3,KR,ICN,151.04,148.73
161.118.158.9,161.118.158.9,443,4.16,KR,ICN,138.68,189.56
211.49.57.179,211.49.57.179,443,4.1,KR,ICN,136.64,142.19
211.49.57.178,211.49.57.178,443,4.04,KR,ICN,141.98,159.29
140.238.17.157,2603:c022:800d:d100::aaaa,443,3.8,KR,ICN,146.16,149.53
158.180.71.69,158.180.71.69,443,3.66,KR,ICN,156.19,196.26
118.218.10.159,118.218.10.159,443,3.55,KR,ICN,142.63,152.29
144.24.73.232,144.24.73.232,443,3.31,KR,ICN,138.24,146.06
123.111.169.70,123.111.169.70,2096,3.0,KR,ICN,141.02,144.68
54.180.151.15,2406:da12:b02:5300:b595:3dc6:f641:e596,443,2.77,KR,ICN,147.06,166.45
31.77.228.53,31.77.228.53,443,2.27,KR,WAW,164.76,196.26
146.56.188.74,146.56.188.74,443,2.24,KR,ICN,133.37,138.83
119.205.235.58,119.205.235.58,443,1.88,KR,ICN,195.92,205.44
31.57.106.126,31.57.106.126,443,3.44,LV,ARN,155.19,190.7
31.57.62.124,31.57.62.124,443,3.39,LV,RIX,165.17,163.6
193.164.155.76,193.164.155.76,443,3.37,LV,RIX,152.87,162.36
31.56.179.176,31.56.179.176,443,3.29,LV,RIX,156.33,157.45
94.158.219.126,94.158.219.126,443,3.24,LV,VNO,171.21,193.81
46.8.232.48,46.8.232.48,443,3.21,LV,ARN,159.47,192.29
94.183.190.163,94.183.190.163,443,3.18,LV,RIX,173.46,174.39
31.57.26.159,31.57.26.159,443,3.14,LV,ARN,154.76,174.98
95.182.99.65,95.182.99.65,443,3.08,LV,CPH,157.98,194.94
31.57.106.178,31.57.106.178,443,3.07,LV,ARN,152.86,170.19
31.56.197.86,31.56.197.86,443,3.07,LV,CPH,154.73,200.21
31.56.117.15,31.56.117.15,443,3.06,LV,ARN,156.88,179.91
188.130.206.87,188.130.206.87,443,3.05,LV,RIX,161.33,162.49
188.130.206.93,188.130.206.93,443,3.04,LV,RIX,157.93,162.67
31.58.137.196,31.58.137.196,443,3.0,LV,RIX,182.04,177.96
45.38.139.79,45.38.139.79,443,2.94,LV,RIX,157.0,167.57
46.8.64.53,46.8.64.53,443,2.93,LV,ARN,171.44,169.86
185.92.183.217,185.92.183.217,443,2.85,LV,RIX,157.36,183.25
109.248.163.191,109.248.163.191,443,2.79,LV,ARN,159.42,176.26
188.92.78.188,188.92.78.188,443,2.79,LV,RIX,159.92,165.47
217.145.79.186,217.145.79.186,2053,2.77,LV,ARN,159.24,183.26
31.56.204.194,31.56.204.194,443,2.75,LV,ARN,174.06,178.38
31.57.105.53,31.57.105.53,443,2.74,LV,ARN,159.21,176.85
213.155.12.173,213.155.12.173,443,2.74,LV,WAW,165.57,178.26
194.58.34.139,194.58.34.139,443,2.71,LV,OSL,166.42,213.52
45.43.76.227,45.43.76.227,443,2.69,LV,VNO,156.06,194.41
193.68.89.220,193.68.89.220,8443,2.67,LV,ARN,158.0,158.7
104.253.43.249,104.253.43.249,443,2.67,LV,RIX,158.99,169.61
46.8.70.198,46.8.70.198,443,2.67,LV,ARN,164.66,180.25
94.183.190.104,94.183.190.104,443,2.66,LV,ARN,158.52,169.51
31.57.158.134,31.57.158.134,443,2.66,LV,RIX,156.6,216.73
31.57.105.139,31.57.105.139,443,2.64,LV,RIX,162.31,167.44
31.57.106.35,31.57.106.35,443,2.64,LV,RIX,154.09,157.45
193.164.155.38,193.164.155.38,443,2.63,LV,ARN,162.59,183.89
193.164.155.48,193.164.155.48,443,2.63,LV,ARN,164.25,177.91
193.68.89.220,193.68.89.220,443,2.55,LV,ARN,153.87,159.67
46.21.80.141,46.21.80.141,8443,2.55,LV,RIX,154.7,168.39
217.19.4.192,217.19.4.192,443,2.55,LV,OSL,159.18,199.55
31.56.177.194,31.56.177.194,443,2.53,LV,ARN,163.09,190.77
31.57.26.96,31.57.26.96,443,2.53,LV,CPH,197.71,292.45
46.8.228.165,46.8.228.165,443,2.52,LV,RIX,167.27,172.16
46.21.80.141,46.21.80.141,443,2.51,LV,RIX,155.01,167.71
188.130.206.93,188.130.206.93,2053,2.5,LV,RIX,162.63,176.91
217.60.60.38,217.60.60.38,443,2.49,LV,RIX,169.58,167.46
46.8.64.232,46.8.64.232,443,2.41,LV,RIX,165.25,165.24
31.58.77.150,31.58.77.150,443,2.41,LV,ARN,163.26,213.91
217.60.60.49,217.60.60.49,443,2.28,LV,RIX,154.94,180.44
46.8.64.228,46.8.64.228,443,2.24,LV,RIX,163.06,175.38
31.58.137.94,31.58.137.94,443,2.2,LV,RIX,152.71,164.14
91.222.237.251,213.139.229.57,443,2.2,LV,WAW,171.12,206.92
188.130.154.155,188.130.154.155,443,2.19,LV,RIX,154.38,156.92
217.147.15.82,217.147.15.82,443,2.18,LV,WAW,162.7,182.5
31.59.41.159,31.59.41.159,443,2.16,LV,RIX,161.82,185.3
185.242.107.169,185.242.107.169,443,2.13,LV,WAW,156.23,181.64
31.56.206.215,31.56.206.215,443,2.11,LV,ARN,155.42,175.98
85.31.102.163,85.31.102.163,443,2.01,LV,RIX,158.52,164.84
104.252.127.58,104.252.127.58,443,1.97,LV,ARN,159.26,176.6
46.8.237.3,46.8.237.3,443,1.88,LV,ARN,162.87,180.36
31.57.105.140,31.57.105.140,443,1.83,LV,RIX,174.62,176.57
31.59.106.71,31.59.106.71,443,1.57,LV,ARN,170.66,176.7
46.8.232.233,46.8.232.233,443,1.43,LV,ARN,157.86,170.6
43.170.17.114,43.174.105.238,443,6.51,NL,AMS,234.53,228.41
195.78.49.204,195.78.49.204,443,5.26,NL,AMS,135.15,143.37
178.62.206.22,178.62.206.22,443,5.19,NL,AMS,132.8,148.47
185.213.211.29,185.213.211.29,443,5.14,NL,AMS,129.73,139.05
2.26.138.203,2.26.138.203,443,5.14,NL,AMS,140.11,157.36
72.56.21.244,72.56.21.244,443,5.01,NL,AMS,128.9,156.08
195.133.40.234,195.133.40.234,443,5.0,NL,AMS,129.66,162.79
109.248.162.37,109.248.162.37,443,4.84,NL,AMS,131.93,142.58
82.115.4.65,82.115.4.65,443,4.64,NL,AMS,138.45,144.37
152.42.128.92,152.42.128.92,443,4.58,NL,AMS,154.82,149.18
143.14.1.8,67.220.80.252,443,4.53,NL,DUS,132.52,151.66
195.133.38.112,195.133.38.112,443,4.41,NL,AMS,132.52,197.93
5.34.180.230,5.34.180.230,443,4.21,NL,AMS,137.26,148.09
89.125.123.248,89.125.123.248,443,4.19,NL,AMS,145.72,184.26
78.17.132.142,78.17.132.142,443,4.18,NL,AMS,134.37,150.56
144.124.229.34,144.124.229.34,443,4.16,NL,AMS,136.16,141.58
67.220.80.246,67.220.80.246,443,4.13,NL,DUS,131.67,146.6
212.22.74.89,212.22.74.89,443,4.09,NL,AMS,132.75,183.55
72.56.95.38,72.56.95.38,443,4.09,NL,AMS,131.68,140.35
23.168.72.190,67.220.80.252,443,4.08,NL,DUS,138.66,153.17
95.140.158.49,95.140.158.49,443,4.02,NL,AMS,139.09,136.72
5.255.118.118,5.255.118.118,443,4.0,NL,AMS,141.32,153.77
82.40.60.127,82.40.60.127,443,4.0,NL,AMS,142.46,156.37
185.94.164.139,185.94.164.139,443,3.99,NL,AMS,128.77,136.63
176.126.85.109,176.126.85.109,443,3.98,NL,AMS,138.84,144.19
67.220.80.230,67.220.80.230,443,3.96,NL,DUS,138.68,154.38
45.149.234.214,45.149.234.214,443,3.96,NL,AMS,140.57,154.49
31.59.170.132,31.59.170.132,443,3.96,NL,AMS,159.46,167.55
144.124.228.213,144.124.228.213,8443,3.96,NL,AMS,141.74,147.13
144.124.228.213,144.124.228.213,443,3.94,NL,AMS,139.93,145.43
193.106.150.253,193.106.150.253,443,3.93,NL,AMS,135.53,166.52
82.115.5.210,82.115.5.210,443,3.93,NL,AMS,134.02,141.7
89.125.119.65,89.125.119.65,443,3.9,NL,AMS,140.31,164.64
94.103.9.160,94.103.9.160,443,3.81,NL,AMS,139.21,157.23
138.124.3.88,138.124.3.88,443,3.8,NL,AMS,139.64,150.34
82.115.7.17,82.115.7.17,443,3.79,NL,AMS,134.92,162.28
109.176.207.168,109.176.207.168,443,3.76,NL,AMS,137.66,140.27
45.151.106.65,45.151.106.65,443,3.76,NL,AMS,145.4,149.67
94.241.174.229,94.241.174.229,443,3.76,NL,AMS,136.65,147.87
146.103.117.162,146.103.117.162,443,3.72,NL,AMS,154.66,164.44
130.49.185.144,130.49.185.144,443,3.71,NL,AMS,135.23,169.84
31.59.150.31,31.59.150.31,443,3.69,NL,AMS,140.89,150.05
193.17.95.146,193.17.95.146,443,3.68,NL,AMS,144.96,156.14
195.133.15.241,195.133.15.241,443,3.67,NL,AMS,142.11,181.27
195.246.110.188,195.246.110.188,443,3.66,NL,AMS,155.6,154.04
195.63.129.36,195.63.135.129,443,3.66,NL,AMS,140.6,145.51
164.92.217.96,164.92.217.96,443,3.65,NL,AMS,149.69,174.45
46.17.101.133,46.17.101.133,443,3.65,NL,AMS,141.16,142.63
212.193.1.234,212.193.1.234,443,3.64,NL,AMS,136.67,142.95
23.94.220.233,23.94.220.233,443,3.61,NL,AMS,146.02,159.6
144.124.245.51,144.124.245.51,443,3.58,NL,AMS,146.6,153.62
23.94.134.141,23.94.134.141,443,3.57,NL,AMS,155.98,161.59
103.97.88.133,103.97.88.133,443,3.55,NL,AMS,131.87,138.67
103.97.88.133,103.97.88.133,8443,3.55,NL,AMS,135.9,147.68
194.87.243.86,194.87.243.86,443,3.54,NL,AMS,130.11,182.91
144.31.97.87,144.31.97.87,443,3.54,NL,FRA,161.67,171.82
212.16.78.22,212.16.78.22,443,3.53,NL,AMS,138.57,152.85
89.23.105.163,89.23.105.163,443,3.52,NL,AMS,131.19,137.89
66.151.42.239,66.151.42.239,443,3.52,NL,AMS,131.9,139.42
45.87.107.158,45.87.107.158,443,3.49,NL,AMS,153.52,161.91
89.150.59.208,89.150.59.208,443,3.46,NL,AMS,136.19,144.69
89.150.35.80,89.150.35.80,443,3.43,NL,AMS,132.77,136.23
82.22.3.81,82.22.3.81,443,3.43,NL,AMS,149.69,154.5
95.179.140.212,95.179.140.212,443,3.42,NL,AMS,139.19,143.89
185.204.52.78,185.204.52.78,443,3.41,NL,AMS,140.68,152.58
95.85.226.7,95.85.226.7,443,3.41,NL,AMS,136.87,155.49
194.156.66.171,194.156.66.171,443,3.4,NL,DUS,142.55,147.85
86.107.197.161,86.107.197.161,443,3.4,NL,AMS,154.57,158.33
147.45.169.181,147.45.169.181,443,3.4,NL,AMS,129.68,137.23
31.15.19.180,31.15.19.180,443,3.4,NL,AMS,155.4,166.24
5.45.70.203,5.45.70.203,443,3.39,NL,AMS,139.35,151.86
23.168.72.71,67.220.80.246,443,3.38,NL,DUS,142.79,154.55
91.132.58.156,91.132.58.156,443,3.38,NL,AMS,132.15,139.6
147.45.252.8,147.45.252.8,443,3.35,NL,AMS,129.33,174.71
62.171.228.171,62.171.228.171,443,3.34,NL,AMS,160.2,158.5
88.218.122.206,88.218.122.206,443,3.33,NL,AMS,136.83,140.85
188.227.107.171,188.227.107.171,443,3.33,NL,AMS,137.77,154.34
80.76.34.190,80.76.34.190,443,3.33,NL,AMS,138.22,139.79
152.53.200.105,152.53.200.105,8443,3.29,NL,AMS,155.08,175.56
194.87.130.218,194.87.130.218,443,3.27,NL,AMS,129.69,133.09
109.71.246.91,109.71.246.91,443,3.27,NL,AMS,136.55,144.09
88.218.248.211,88.218.248.211,443,3.23,NL,AMS,129.66,136.34
2.26.110.36,2.26.110.36,8443,3.18,NL,FRA,155.95,199.74
23.168.72.194,67.220.80.246,443,3.15,NL,DUS,142.18,158.37
5.255.116.214,5.255.116.214,443,3.14,NL,AMS,138.84,154.36
212.7.207.4,212.7.207.4,443,3.14,NL,FRA,137.83,152.86
80.74.30.241,80.74.30.241,443,3.13,NL,AMS,157.1,146.21
23.168.72.41,67.220.80.252,443,3.13,NL,DUS,146.78,150.84
5.101.84.107,5.101.84.107,443,3.11,NL,DUS,141.23,174.69
31.56.222.60,31.56.222.60,443,3.1,NL,AMS,136.98,152.85
195.63.145.93,195.63.145.93,443,3.1,NL,AMS,161.1,178.61
80.74.26.176,80.74.26.176,443,3.08,NL,AMS,156.88,156.32
43.250.53.73,43.250.53.73,443,3.07,NL,AMS,140.17,142.69
185.103.255.142,185.103.255.142,443,3.07,NL,AMS,139.52,143.54
80.74.28.213,80.74.28.213,8443,3.07,NL,AMS,131.38,136.8
193.168.199.94,193.168.199.94,443,3.06,NL,AMS,145.45,140.46
2.26.110.36,2.26.110.36,443,3.06,NL,FRA,157.5,199.55
195.63.135.129,195.63.135.129,443,3.06,NL,AMS,154.18,169.09
83.147.253.123,83.147.253.123,443,3.05,NL,FRA,156.31,175.34
89.125.82.238,89.125.82.238,443,3.05,NL,DUS,138.62,204.88
2.26.70.229,2.26.70.229,8443,3.05,NL,FRA,163.02,200.94
31.59.150.31,31.59.150.31,8443,3.05,NL,AMS,138.83,148.71
188.166.79.180,188.166.79.180,443,3.01,NL,AMS,144.91,159.09
89.124.111.128,89.124.111.128,443,3.01,NL,AMS,157.13,162.28
94.142.137.72,94.142.137.72,443,3.01,NL,AMS,134.64,138.42
5.129.226.114,5.129.226.114,443,3.0,NL,AMS,141.51,155.71
89.124.90.219,89.124.90.219,443,2.99,NL,AMS,163.6,165.79
138.226.222.106,138.226.222.106,443,2.99,NL,AMS,141.68,148.52
138.124.67.58,138.124.67.58,443,2.99,NL,AMS,158.73,178.45
161.35.247.7,161.35.247.7,443,2.99,NL,AMS,145.28,150.69
152.53.200.186,152.53.200.186,8443,2.98,NL,AMS,155.45,172.32
151.247.25.120,151.247.25.120,443,2.97,NL,AMS,152.41,173.56
79.108.163.77,79.108.163.76,443,2.96,NL,AMS,141.87,146.35
46.151.24.140,77.246.104.5,443,2.95,NL,AMS,145.01,152.62
89.127.211.89,89.127.211.89,443,2.95,NL,AMS,148.29,161.79
178.173.254.43,178.173.254.43,443,2.93,NL,AMS,147.21,153.58
2.26.110.123,2.26.110.123,8443,2.92,NL,FRA,153.38,177.67
31.57.196.193,31.57.196.193,443,2.92,NL,AMS,152.04,152.36
138.226.222.106,138.226.222.106,8443,2.92,NL,AMS,141.1,149.96
23.168.72.90,67.220.80.252,443,2.92,NL,DUS,149.87,173.48
217.144.189.5,217.144.189.5,443,2.91,NL,FRA,157.37,179.11
185.233.184.70,185.233.184.70,443,2.9,NL,AMS,145.0,149.49
152.53.200.124,152.53.200.124,443,2.9,NL,AMS,157.82,172.09
147.45.228.4,147.45.228.4,443,2.89,NL,AMS,139.08,139.26
77.221.133.14,178.217.101.126,443,2.88,NL,AMS,150.24,142.29
45.144.232.27,45.144.232.27,443,2.88,NL,AMS,144.33,153.55
45.147.199.13,45.147.199.13,443,2.87,NL,AMS,147.2,146.82
5.129.209.192,5.129.209.192,443,2.87,NL,AMS,137.44,139.38
152.53.200.166,152.53.200.166,443,2.87,NL,AMS,159.32,167.66
194.87.208.54,194.87.208.54,443,2.86,NL,AMS,139.75,146.62
146.0.79.33,146.0.79.33,443,2.86,NL,AMS,131.53,139.82
2.26.110.123,2.26.110.123,443,2.85,NL,FRA,157.1,177.49
2.27.169.31,2.27.169.31,443,2.85,NL,AMS,154.03,155.28
138.124.79.40,138.124.79.40,443,2.85,NL,AMS,144.37,154.58
31.57.196.109,31.57.196.109,443,2.84,NL,AMS,150.5,186.37
31.57.196.20,31.57.196.20,443,2.82,NL,AMS,148.08,153.85
152.53.200.105,152.53.200.105,443,2.82,NL,AMS,157.78,200.97
72.56.18.20,72.56.18.20,443,2.8,NL,AMS,138.46,141.83
2.26.70.229,2.26.70.229,443,2.8,NL,FRA,157.21,261.41
78.17.10.31,78.17.10.31,443,2.8,NL,AMS,149.43,152.46
188.241.196.180,188.241.196.180,443,2.79,NL,AMS,130.94,138.49
152.53.200.225,152.53.200.225,8443,2.79,NL,AMS,151.99,173.38
217.144.185.122,217.144.185.122,443,2.79,NL,FRA,159.01,185.7
95.181.162.221,95.181.162.221,443,2.78,NL,FRA,159.21,171.16
89.125.130.94,89.125.130.94,443,2.78,NL,AMS,142.99,158.35
89.208.105.87,89.208.105.87,443,2.77,NL,FRA,159.05,181.47
89.127.219.235,89.127.219.235,443,2.76,NL,AMS,144.65,162.87
152.53.200.115,152.53.200.115,443,2.75,NL,AMS,152.78,170.99
103.251.166.229,103.251.166.229,443,2.75,NL,AMS,138.02,149.73
217.60.199.153,217.60.199.153,443,2.74,NL,AMS,146.44,162.31
5.129.238.238,5.129.238.238,443,2.74,NL,AMS,144.44,158.04
46.17.99.157,46.17.99.157,443,2.73,NL,AMS,141.66,148.04
89.110.83.224,89.110.83.224,443,2.73,NL,AMS,210.18,195.7
165.232.80.138,165.232.80.138,443,2.72,NL,AMS,135.42,142.91
2.27.169.241,2.27.169.241,443,2.71,NL,AMS,151.28,156.39
109.120.142.45,109.120.142.45,443,2.7,NL,AMS,145.58,151.59
43.250.53.73,43.250.53.73,8443,2.7,NL,AMS,143.43,146.33
212.111.89.16,212.111.89.16,443,2.69,NL,AMS,160.35,170.0
46.149.75.249,46.149.75.249,443,2.68,NL,AMS,150.62,156.02
109.107.164.231,109.107.164.231,443,2.68,NL,AMS,159.62,165.79
217.177.11.243,217.177.11.243,443,2.68,NL,AMS,132.47,159.14
46.149.76.150,46.149.76.150,443,2.68,NL,AMS,159.41,164.47
5.129.212.160,5.129.212.160,443,2.67,NL,AMS,136.75,138.49
92.112.124.25,92.112.124.25,443,2.67,NL,AMS,158.79,184.81
193.233.127.143,193.233.127.143,443,2.66,NL,AMS,151.18,172.95
138.124.3.156,138.124.3.156,443,2.66,NL,AMS,151.59,160.02
152.53.200.164,152.53.200.164,443,2.66,NL,AMS,150.65,164.74
2.27.169.177,2.27.169.177,443,2.66,NL,AMS,145.58,152.13
89.124.65.242,89.124.65.242,443,2.66,NL,AMS,159.23,180.84
31.57.196.9,31.57.196.9,443,2.65,NL,AMS,154.78,177.04
185.180.196.64,185.180.196.64,443,2.64,NL,AMS,136.99,143.48
185.246.217.72,185.246.217.72,443,2.64,NL,FRA,168.68,199.83
67.220.80.252,67.220.80.252,443,2.64,NL,DUS,136.99,155.04
72.56.101.221,2a03:6f02::1:3a3c,443,2.64,NL,AMS,134.21,204.46
31.15.19.199,31.15.19.199,443,2.63,NL,AMS,148.36,162.95
202.148.53.171,202.148.53.171,443,2.62,NL,AMS,131.81,139.52
147.45.69.64,147.45.69.64,443,2.62,NL,FRA,155.63,176.57
194.135.38.140,194.135.38.140,443,2.62,NL,AMS,141.0,169.84
82.153.49.2,67.220.80.246,443,2.61,NL,DUS,135.89,148.92
192.210.175.185,192.210.175.185,443,2.61,NL,AMS,165.77,173.56
80.74.28.213,80.74.28.213,443,2.59,NL,AMS,136.83,144.96
134.209.136.197,64.225.77.36,443,2.56,NL,AMS,142.24,143.53
109.71.246.91,109.71.246.91,8443,2.55,NL,AMS,134.67,149.03
82.115.4.109,82.115.4.109,443,2.54,NL,AMS,139.08,150.64
152.53.200.89,152.53.200.89,8443,2.54,NL,AMS,162.26,174.3
62.171.228.38,62.171.228.38,443,2.54,NL,AMS,141.08,148.27
2.26.20.120,2.26.20.120,443,2.53,NL,FRA,161.97,184.69
67.220.80.247,67.220.80.246,443,2.52,NL,DUS,135.54,150.13
217.144.189.83,217.144.189.83,443,2.5,NL,FRA,156.31,184.76
2.27.169.240,2.27.169.240,443,2.5,NL,AMS,152.8,163.93
152.53.200.78,152.53.200.78,443,2.48,NL,AMS,158.1,172.27
23.168.72.227,67.220.80.252,443,2.48,NL,DUS,141.7,158.66
185.185.41.34,185.185.41.34,443,2.45,NL,AMS,215.74,223.6
195.93.253.115,195.93.253.115,443,2.43,NL,AMS,145.7,153.62
152.53.200.78,152.53.200.78,8443,2.43,NL,AMS,154.95,171.11
152.53.200.44,152.53.200.44,8443,2.42,NL,AMS,171.77,186.63
152.53.200.241,152.53.200.241,8443,2.42,NL,AMS,156.34,173.08
195.133.63.147,195.133.63.147,443,2.41,NL,AMS,134.52,153.27
67.220.80.99,67.220.80.99,443,2.41,NL,DUS,140.17,152.37
185.23.19.162,185.23.19.162,443,2.36,NL,AMS,143.92,156.77
23.94.220.207,23.94.220.207,443,2.28,NL,AMS,150.64,157.05
37.220.84.132,37.220.84.132,443,2.28,NL,AMS,137.8,138.56
152.53.200.241,152.53.200.241,443,2.27,NL,AMS,157.79,175.69
23.168.72.118,67.220.80.246,443,2.26,NL,DUS,143.56,159.61
213.183.51.71,213.183.51.71,443,2.26,NL,AMS,144.57,149.39
152.53.200.89,152.53.200.89,443,2.26,NL,AMS,155.96,180.65
186.190.213.123,186.190.213.82,443,2.25,NL,DUS,133.25,144.0
152.53.200.186,152.53.200.186,443,2.25,NL,AMS,160.82,168.62
152.53.200.71,152.53.200.71,8443,2.24,NL,AMS,154.52,172.31
45.82.177.56,45.82.177.56,443,2.23,NL,AMS,136.85,158.56
152.53.200.164,152.53.200.164,8443,2.21,NL,AMS,157.42,164.93
78.17.80.151,78.17.80.151,443,2.2,NL,AMS,136.5,141.48
194.87.35.130,194.87.35.130,443,2.2,NL,AMS,138.25,163.29
212.16.78.22,212.16.78.22,2053,2.19,NL,AMS,139.29,141.15
152.53.200.126,152.53.200.126,8443,2.18,NL,AMS,155.27,173.85
152.53.200.193,152.53.200.193,8443,2.18,NL,AMS,155.99,174.3
89.23.107.153,89.23.107.153,443,2.18,NL,AMS,150.47,164.62
62.171.228.242,62.171.228.242,443,2.17,NL,AMS,137.94,150.61
185.138.88.7,185.138.88.7,443,2.17,NL,AMS,152.32,167.01
146.103.113.158,146.103.113.158,443,2.15,NL,AMS,157.26,158.02
152.53.200.106,152.53.200.106,443,2.13,NL,AMS,148.22,167.58
84.235.160.223,84.235.160.223,443,2.12,NL,AMS,132.02,134.42
2.27.169.140,2.27.169.140,443,2.11,NL,AMS,156.21,163.93
152.53.200.124,152.53.200.124,8443,2.09,NL,AMS,168.14,184.96
152.53.200.51,152.53.200.51,8443,2.08,NL,AMS,152.44,172.48
152.53.200.115,152.53.200.115,8443,2.08,NL,AMS,162.15,181.7
152.53.200.44,152.53.200.44,443,2.06,NL,AMS,165.57,214.66
85.136.181.42,85.136.181.42,8443,2.05,NL,AMS,139.86,143.95
185.36.143.187,185.36.143.187,443,2.04,NL,TXL,142.74,174.15
185.81.115.188,185.81.115.188,443,2.03,NL,AMS,142.66,137.14
152.53.200.139,152.53.200.139,8443,1.99,NL,AMS,152.17,169.25
23.168.72.165,67.220.80.252,443,1.98,NL,DUS,150.18,158.89
80.76.35.90,80.76.35.90,443,1.98,NL,AMS,135.66,372.01
80.64.17.129,80.64.17.129,443,1.97,NL,AMS,139.09,141.51
186.190.213.6,67.220.80.246,443,1.96,NL,DUS,130.52,161.77
77.238.244.233,77.238.244.233,443,1.96,NL,AMS,167.1,216.73
89.125.63.189,89.125.63.189,443,1.95,NL,AMS,131.27,143.02
23.94.134.141,23.94.134.141,8443,1.95,NL,AMS,150.27,160.26
151.246.240.2,67.220.80.99,443,1.9,NL,DUS,132.81,166.03
62.171.228.242,62.171.228.242,8443,1.9,NL,AMS,140.62,154.97
152.53.200.139,152.53.200.139,443,1.84,NL,AMS,157.72,169.92
5.129.216.14,5.129.216.14,8443,1.83,NL,AMS,135.34,136.33
152.53.200.126,152.53.200.126,443,1.82,NL,AMS,152.48,174.15
185.209.162.35,185.209.162.35,443,1.81,NL,AMS,135.73,149.36
152.53.200.166,152.53.200.166,8443,1.81,NL,AMS,169.83,168.49
152.53.200.106,152.53.200.106,8443,1.8,NL,AMS,154.67,165.59
152.53.200.225,152.53.200.225,443,1.8,NL,AMS,152.56,185.19
152.53.200.200,152.53.200.200,8443,1.76,NL,AMS,154.45,174.85
152.53.200.193,152.53.200.193,443,1.75,NL,AMS,160.32,168.64
5.129.216.14,5.129.216.14,443,1.75,NL,AMS,139.04,142.55
152.53.200.163,152.53.200.163,8443,1.74,NL,AMS,157.25,174.74
103.65.231.157,103.65.231.157,443,1.73,NL,AMS,148.99,163.6
62.171.228.60,62.171.228.60,443,1.73,NL,AMS,151.37,162.62
72.56.101.221,2a03:6f02::1:3a3c,8443,1.73,NL,AMS,135.43,212.49
